dyke_id,vertex_id,x,y,z
4,2712,667567.609375,6576137.8125,-297.5770263671875,
4,2715,667570.921875,6576181.517578125,-297.55218505859375,
4,2716,667595.453125,6576505.349609375,-297.31744384765625,
4,2717,667595.9140625,6576511.4638671875,-297.31301879882813,
4,2718,667628.625,6576943.2705078125,-297.02337646484375,
4,2721,667631.40625,6576980,-296.99874877929687,
4,2724,667640.9765625,6577106.359375,-296.91400146484375,
4,2725,667646.421875,6577178.2001953125,-296.87088012695312,
4,2726,667647.8203125,6577196.6611328125,-296.869384765625,
4,2727,667659.2109375,6577347.0654296875,-296.73513793945312,
4,2728,667692.42578125,6577785.529296875,-296.34378051757812,
4,2731,667695.203125,6577822.203125,-296.31103515625,
4,2734,667710.0625,6578018.36328125,-296.13595581054687,
4,2735,667722.96875,6578188.7470703125,-296.10064697265625,
4,2736,667728.08984375,6578256.33203125,-296.08663940429687,
4,2737,667756.2265625,6578627.787109375,-295.67822265625,
4,2740,667759,6578664.40625,-295.63796997070312,
4,2743,667626.83203125,6578887.1787109375,-296.72879028320313,
4,2744,667581.421875,6578963.7216796875,-297.16891479492187,
